IAB Categories ( Categories with some modifications. We should use them. Names should start with capital letter) ;;Colours;HSL (new subcategories vary +1- Lightness to - 7);Gradient-on read and on hover;Gradient HSL;Corresponding Gizmag Categories;Corresponding TeknikensVarld Categories;All TeknikensVarld Categories;;;
mobile technology);;#91b4dc;212, 52, 72;#abd5ff;210, 100, 84;Mobile Technology;;;;;
digital cameras;;#95e0f9;195, 89, 78;#31cdf7;193, 93, 58;Digital Cameras;;;;;
game systems & consoles;;#7ed6f0;194, 79, 72;#8bf7ef;176, 87, 76;Games;;;;;
virtual reality;;#95add9;219, 47, 72;#c0bbea;246, 53, 83;Virtual Reality;;;;;
smartwatches;;#a099cd;248, 34, 70;#ca9acc;298, 33, 70;Smartwatches;;;;;
telecomunications;;#a88bc5;270, 33, 66;#c5a1c6;298, 25, 70;Telecomunications;;;;;
home entertainment;;#86c8e8;200, 68, 72;#a2ecf4;186, 79, 80;Home Entertainment;;;;;
data centers;;#99EBFF;192, 80, 80;#efefef;207, 80, 80;;;;;;
electronic components;;#7cc6e0;196, 62, 68;#efefef;211, 62, 78;;;;;;
enterprise technology;;#92d3ef;198, 74, 75;#efefef;213, 74, 85;;;;;;
hardware;;#92d3e0;190, 56, 73;#efefef;205, 56, 83;;;;;;
3d printing;;#90d9f3;196, 81, 76;#b0ecf6;189, 80, 83;3D Printing;;;;;
computers;;#a9e3ef;190, 69, 80;#94e2f7;193, 86, 77;Computers;;;;;
laptops;;#89c2e4;202, 63, 72;#ace0f9;199, 87, 83;Laptops;;;;;
internet technology;;#73e5ff;191, 100, 73;#b5f7ec;170, 80, 84;;;;;;
mp3 and midi (music & sound);;#99a6d5;227, 42, 72;#bbcdff;224, 100, 87;Music;;;;;
networking;;#62d8f4;192, 87, 67;#efefef;207, 87, 77;;;;;;
operating systems;;#9ad9e4;189, 58, 75;#efefef;204, 58, 85;;;;;;
programming languages;;#a9b8ef;227, 69, 80;#efefef;242, 69, 90;;;;;;
software;;#ccbddd;268, 32, 80;#efefef;283, 32, 90;;;;;;
tech news;;#bcb3d9;254, 33, 78;#efefef;269, 33, 88;;;;;;
technical support;;#ada9d5;245, 34, 75;#c7c4e2;246, 34, 83;;(experterna svarar) the experts respond;;;;
technological innovation;;#9d9fd1;238, 36, 72;#b6b8dc;237, 35, 79;Robotics;;;;;
drones;;#89e0f7;193, 87, 75;#1eccf4;191, 91, 54;Drones;;;;;
Travel;;#f4d437;50, 90, 59;#fce0f1;324, 82, 93;;;;;;
budget travel;;#f5d333;49, 91, 58;#fcdeeb;334, 83, 93;;;;;;
business travel;;#f6d12f;49, 92, 57;#fddce6;342, 89, 93;;;;;;
honeymoons & getaways;;#f7d02a;49, 93, 57;#fddbe0;351, 89, 93;;;;;;
hotels;;#f7ce26;48, 93, 56;#fdd9db;357, 90, 92;;;;;;
specialty travel;;#f8cd22;48, 94, 55;#fdd7d5;3, 91, 91;;;;;;
tourist destinations;;#ffd788;40, 100, 77;#f9b78a;24, 90, 76;Holiday Destinations;;;;;
tourist facilities;;#faca19;47, 96, 54;#fed4ca;12, 96, 89;;;;;;
transports (voyaging);;#fbc915;47, 97, 53;#fed2c4;14, 97, 88;;;;;;
travel agencies;;#fcc811;47, 98, 53;#fed0bf;16, 97, 87;;;;;;
travel guides;;#fcc60d;46, 98, 52;#fecfb9;19, 97, 86;;;;;;
traveling with kids;;#fec304;46, 99, 51;#ffcdb4;20, 100, 85;;;;;;
vacation rentals;;#ffc200;46, 100, 50;#ffcbae;23, 100, 83;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;; #13a4e6;;;;;;;;;
;;#032f47;;;;;;;;;
